team,game,game_week,total_ck_for,xg,shots_from_ck
PERSIK Kediri,PS Barito Putera - PERSIK Kediri,4,3,0,0
PERSIK Kediri,PERSIK Kediri - PERSITA Tangerang,5,1,0.295766248843675,1
PERSIK Kediri,PERSIS Solo - PERSIK Kediri,6,2,0,0
PERSIK Kediri,PERSIK Kediri - PSBS Biak,7,4,0.0747964554624404,2
PERSIK Kediri,Dewa United FC - PERSIK Kediri,8,2,0,0
PERSIK Kediri,PERSIK Kediri - PERSIB Bandung,9,4,0,0
PERSIK Kediri,PSM Makassar - PERSIK Kediri,10,1,0,0
PERSIK Kediri,PERSIK Kediri - PSIS Semarang,11,6,0.128143042767034,3
PERSIK Kediri,PERSIJA Jakarta - PERSIK Kediri,12,2,0.0311370900039438,2
PERSIK Kediri,PERSIK Kediri - Madura United FC,13,5,0.645323277097819,2
PERSIK Kediri,PERSEBAYA Surabaya - PERSIK Kediri,14,9,0.536590028939516,2
PERSIK Kediri,PERSIK Kediri - AREMA FC,15,7,0.265404681893225,2
PERSIK Kediri,PERSIK Kediri - Semen Padang FC,16,9,0.212441488908814,2
PERSIK Kediri,Borneo FC Samarinda - PERSIK Kediri,17,3,0.104672639047173,1
PERSIS Solo,PSM Makassar - PERSIS Solo,1,3,0.0620380098070407,1
PERSIS Solo,PERSIS Solo - PSIS Semarang,2,9,0.308920441803865,3
PERSIS Solo,PERSIJA Jakarta - PERSIS Solo,3,5,0.486155240529187,3
PERSIS Solo,PERSIS Solo - Madura United FC,4,4,0.0727379760094205,1
PERSIS Solo,PERSEBAYA Surabaya - PERSIS Solo,5,3,0.148102042964375,2
PERSIS Solo,PERSIS Solo - PERSIK Kediri,6,13,0.143918415180815,3
PERSIS Solo,Semen Padang FC - PERSIS Solo,7,5,0.226369831784872,3
PERSIS Solo,PERSIS Solo - Borneo FC Samarinda,8,4,0.0694099505179029,1
PERSIS Solo,Bali United FC - PERSIS Solo,9,10,0.211401141255761,3
PERSIS Solo,PERSIS Solo - PSS Sleman,10,8,0.165705892001279,1
PERSIS Solo,Malut United FC - PERSIS Solo,11,2,0.0109201827873577,1
PERSIS Solo,PERSIS Solo - PS Barito Putera,12,7,0,0
PERSIS Solo,PERSITA Tangerang - PERSIS Solo,13,6,0.0516526693956727,1
PERSIS Solo,AREMA FC - PERSIS Solo,14,4,0.127232856213835,1
PERSIS Solo,PERSIS Solo - PSBS Biak,15,3,0,0
PERSIS Solo,Dewa United FC - PERSIS Solo,16,3,0.0923339316436115,1
PERSIS Solo,PERSIS Solo - PERSIB Bandung,17,8,0.116790776506043,1
PERSITA Tangerang,PSIS Semarang - PERSITA Tangerang,1,4,0.14645280483314,1
PERSITA Tangerang,PERSITA Tangerang - PERSIJA Jakarta,2,2,0,0
PERSITA Tangerang,Madura United FC - PERSITA Tangerang,3,2,0.0380694567767662,1
PERSITA Tangerang,PERSITA Tangerang - PERSEBAYA Surabaya,4,6,0.108678392758587,3
PERSITA Tangerang,PERSIK Kediri - PERSITA Tangerang,5,8,0.0705952796102545,1
PERSITA Tangerang,PERSITA Tangerang - Semen Padang FC,6,3,0.0111801968365823,1
PERSITA Tangerang,Borneo FC Samarinda - PERSITA Tangerang,7,3,0.0109373348101067,1
PERSITA Tangerang,PERSITA Tangerang - Bali United FC,8,2,0,0
PERSITA Tangerang,PSS Sleman - PERSITA Tangerang,9,1,0.102700128300979,1
PERSITA Tangerang,PERSITA Tangerang - Malut United FC,10,4,0.0386401028046839,1
PERSITA Tangerang,PS Barito Putera - PERSITA Tangerang,11,2,0,0
PERSITA Tangerang,AREMA FC - PERSITA Tangerang,12,5,0.104448802630263,4
PERSITA Tangerang,PERSITA Tangerang - PERSIS Solo,13,2,0,0
PERSITA Tangerang,PSBS Biak - PERSITA Tangerang,14,1,0,0
PERSITA Tangerang,PERSITA Tangerang - Dewa United FC,15,4,0.0547056847556873,2
PERSITA Tangerang,PERSIB Bandung - PERSITA Tangerang,16,3,0,0
PERSITA Tangerang,PERSITA Tangerang - PSM Makassar,17,1,0,0
PS Barito Putera,PERSIJA Jakarta - PS Barito Putera,1,3,0.141581708758468,3
PS Barito Putera,PS Barito Putera - Madura United FC,2,1,0,0
PS Barito Putera,PERSEBAYA Surabaya - PS Barito Putera,3,3,0,0
PS Barito Putera,PS Barito Putera - PERSIK Kediri,4,3,0.0662281797406088,1
